Nuance Liste,Total Men,Elected Men,Elected Men %,Total Women,Elected Women,Total candidates,% elected candidates,Elected Women %
LCOM,81,35,43.21,34,7,115,36.52,20.59
LDIV,1091,277,25.39,316,63,1407,24.16,19.94
LDLF,8,1,12.5,2,0,10,10.0,0.0
LDVC,848,281,33.14,262,51,1110,29.91,19.47
LDVD,1683,784,46.58,437,150,2120,44.06,34.32
LDVG,1560,522,33.46,532,123,2092,30.83,23.12
LECO,111,10,9.01,55,7,166,10.24,12.73
LEXD,30,4,13.33,6,0,36,11.11,0.0
LEXG,206,0,0.0,116,0,322,0.0,0.0
LFI,51,1,1.96,29,0,80,1.25,0.0
LGJ,8,0,0.0,2,0,10,0.0,0.0
LLR,234,142,60.68,68,24,302,54.97,35.29
LMDM,16,3,18.75,1,0,17,17.65,0.0
LRDG,3,2,66.67,1,0,4,50.0,0.0
LREG,66,7,10.61,13,0,79,8.86,0.0
LREM,167,14,8.38,70,0,237,5.91,0.0
LRN,294,9,3.06,83,0,377,2.39,0.0
LSOC,126,64,50.79,45,17,171,47.37,37.78
LUC,50,12,24.0,26,3,76,19.74,11.54
LUD,56,35,62.5,14,9,70,62.86,64.29
LUDI,42,23,54.76,11,7,53,56.6,63.64
LUG,190,82,43.16,85,26,275,39.27,30.59
LVEC,102,9,8.82,67,5,169,8.28,7.46
UNKNOWN,7976,4938,61.91,2237,1223,10213,60.33,54.67
